year,team,team_salary,wins,playoff_wins,champion,spend_tier,sport
2015,Pittsburgh Pirates,99435606.0,76.0,0.0,False,Low,MLB
2015,Colorado Rockies,101277051.0,61.0,0.0,False,Medium,MLB
2015,Cincinnati Reds,112333097.0,77.0,0.0,False,Medium,MLB
2015,Houston Astros,81341546.0,88.0,3.0,False,Low,MLB
2015,Milwaukee Brewers,93852267.0,93.0,0.0,False,Low,MLB
2015,Atlanta Braves,110777379.0,89.0,0.0,False,Medium,MLB
2015,Philadelphia Phillies,141722639.0,95.0,0.0,False,Medium,MLB
2015,Tampa Bay Rays,73241552.0,80.0,0.0,False,Low,MLB
2015,Cleveland Guardians,77404413.0,92.0,0.0,False,Low,MLB
2015,Arizona Diamondbacks,76781801.0,89.0,0.0,False,Low,MLB
2015,Oakland Athletics,80491339.0,69.0,0.0,False,Low,MLB
2015,Miami Marlins,72990525.0,62.0,0.0,False,Low,MLB
2015,Atlanta Hawks,58320278.0,60.0,8.0,False,Low,NBA
2016,Atlanta Hawks,71661760.0,48.0,4.0,False,Medium,NBA
2017,Atlanta Hawks,96315163.0,43.0,2.0,False,Medium,NBA
2018,Atlanta Hawks,99992696.0,24.0,0.0,False,Low,NBA
2019,Atlanta Hawks,79180081.0,29.0,0.0,False,Low,NBA
2020,Atlanta Hawks,110702618.0,20.0,0.0,False,Low,NBA
2021,Atlanta Hawks,118804016.0,41.0,10.0,False,Low,NBA
2022,Atlanta Hawks,135166020.0,43.0,1.0,False,Medium,NBA
2023,Atlanta Hawks,149836313.0,41.0,2.0,False,Medium,NBA
2024,Atlanta Hawks,159153393.0,36.0,0.0,False,Medium,NBA
2015,Boston Celtics,62218516.0,40.0,0.0,False,Low,NBA
2016,Boston Celtics,77141919.0,48.0,2.0,False,Medium,NBA
2017,Boston Celtics,93465326.0,53.0,9.0,False,Medium,NBA
2018,Boston Celtics,115284776.0,55.0,11.0,False,Medium,NBA
2019,Boston Celtics,125334993.0,49.0,5.0,False,Medium,NBA
2020,Boston Celtics,117759332.0,48.0,10.0,False,Medium,NBA
2021,Boston Celtics,132931565.0,36.0,1.0,False,Medium,NBA
2022,Boston Celtics,136557646.0,51.0,14.0,False,Medium,NBA
2023,Boston Celtics,178633307.0,57.0,11.0,False,High,NBA
2024,Boston Celtics,186940921.0,64.0,16.0,True,High,NBA
2015,Brooklyn Nets,91817289.0,38.0,2.0,False,High,NBA
2016,Brooklyn Nets,80258302.0,21.0,0.0,False,Medium,NBA
2017,Brooklyn Nets,82391482.0,20.0,0.0,False,Low,NBA
2018,Brooklyn Nets,95475397.0,28.0,0.0,False,Low,NBA
2019,Brooklyn Nets,118850600.0,42.0,1.0,False,Medium,NBA
2020,Brooklyn Nets,118889943.0,35.0,0.0,False,Medium,NBA
2021,Brooklyn Nets,170444633.0,48.0,7.0,False,High,NBA
